# input	kind	canonical	formatted
#
# The clock is 2026-01-15T12:00:00Z — a Thursday — and the engine zone is UTC,
# the same pinning `corpus/en.tsv` records. `canonical` is epoch nanoseconds for
# a datetime and canonical seconds for a duration. `formatted` follows
# "YYYY-MM-DD HH:MM <zone symbol>", with midnight whenever the input named no
# time of day — and it is never translated, because the kind's format hook
# builds it from Temporal fields rather than from ICU.

# datetime — recognition. Nothing here is German, and that is the point: an ISO
# date is the one date syntax every locale shares.
2026-03-01	datetime	1772323200000000000	2026-03-01 00:00 UTC
9:30	datetime	1768469400000000000	2026-01-15 09:30 UTC

# The date reader is chrono-node in its English configuration, whichever locale
# formats the answer, so "heute", "morgen" and "1. März 2026" all throw while
# their English spellings read under a German engine. A known gap, recorded here
# rather than worked around: `chrono-bridge.ts` says as much where it spells
# `to|as|in` in English.
next friday	datetime	1769126400000000000	2026-01-23 00:00 UTC
1 March 2026	datetime	1772323200000000000	2026-03-01 00:00 UTC

# datetime + duration, with the duration spelled in German.
2026-03-01 + 3 Tage	datetime	1772582400000000000	2026-03-04 00:00 UTC
2026-03-01 - 1 Woche	datetime	1771718400000000000	2026-02-22 00:00 UTC
9:30 + 90 Minuten	datetime	1768474800000000000	2026-01-15 11:00 UTC
# February is 28 days long in 2026 and 29 in 2028; the addition is calendar
# arithmetic, not 86400 seconds.
2026-02-28 + 1 d	datetime	1772323200000000000	2026-03-01 00:00 UTC
2028-02-28 + 1 d	datetime	1835395200000000000	2028-02-29 00:00 UTC
# A spelled cardinal on the right of the operator.
2026-03-01 + drei Tage	datetime	1772582400000000000	2026-03-04 00:00 UTC

# datetime - datetime is a duration, and the duration is what carries German.
2026-01-17 - 2026-01-15	duration	172800	2 Tage
# `durationValue` reports the largest unit it fills, so 45 days is weeks, and
# the remainder is where the decimal comma shows.
2026-03-01 - 2026-01-15	duration	3888000	6,4285714285714285714285714 Wochen
# "." groups and "," decimals — German's pair, the reverse of English's.
1000 Tage	duration	86400000	1.000 Tage
2 Wochen mal 3	duration	3628800	6 Wochen
6 Stunden geteilt durch 2	duration	10800	3 Stunden
-5 Minuten	duration	-300	-5 Minuten

# Zone conversion. "in" keeps the instant and relabels the wall clock; "nach"
# and "zu" are the other two words core maps onto the same keyword.
15:00 in tokio	datetime	1768489200000000000	2026-01-16 00:00 JST
15:00 nach tokio	datetime	1768489200000000000	2026-01-16 00:00 JST
# "Weltzeit" is what German calls UTC. The symbol printed back is still "UTC" —
# `de.ts` keeps the zone table's Latin abbreviation on purpose.
15:00 in weltzeit	datetime	1768489200000000000	2026-01-15 15:00 UTC
# Both spellings of ß, for the reason `de-cardinals.ts` lists "dreißig" beside
# "dreissig": a Swiss keyboard cannot produce one.
15:00 in großbritannien	datetime	1768489200000000000	2026-01-15 15:00 London
15:00 in grossbritannien	datetime	1768489200000000000	2026-01-15 15:00 London
# July, so London is on BST and the same zone that reads +00:00 in January
# reads +01:00 here. Only a date-aware kind can tell the two apart.
2026-07-01 in london	datetime	1782864000000000000	2026-07-01 01:00 London

# Nothing below is a date. These rows are the accept-gate's regression guard
# (plan ruling R4): if a chrono upgrade starts claiming them, they fail loudly.
10 km + 5 km	length	15000	15 Kilometer
20 C	temperature	20	20 °C
5 Min	duration	300	5 Minuten

