# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3 m * 4 m	area	12	12 m²
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
2 kw * 3 h	energy	21600000	21 600 000 dżuli
1 kwh / 1 kw	duration	3600	3 600 sekund
500 mb / 20 s	datarate	200000000	200 Mbit
100 mbps * 1 min	datasize	750000000	750 000 000 bajtów
120 bpm w ms	duration	0.5	500 milisekund
1000 mb = 1 gb	boolean	1	true
20% z 50	number	10	10
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilometrów
# Four plural categories, on a kind that is not a length: one for 1, few for
# 2-4, many from 5 up, and the teens to many however they end.
1 bajt	datasize	1	1 bajt
2 bajty	datasize	2	2 bajty
5 bajtów	datasize	5	5 bajtów
12 bajtów	datasize	12	12 bajtów
22 bajty	datasize	22	22 bajty
# The category is read off the *result*, so a conversion picks it: 1024 ends
# in 4 and lands in few.
1 kib w b	datasize	1024	1 024 bajty
# The fractional category is the genitive singular, a fifth word rather than a
# reuse of one of the four above.
1 kg + 500 g	mass	1500	1,5 kilograma
# 102 is `few` here and would be the genitive singular in Russian: same
# category, different word.
102 metry	length	102	102 metry
# The group separator printed is U+00A0, and the reader takes a plain space
# for it — the first row is typed with U+0020.
1 234 567 mm	length	1234.567	1 234 567 milimetrów
250 ml + 1 l	volume	1.25	1 250 mililitrów
# The locative the conversion preposition "w" governs is read and never
# printed — "w megabajtach" in, and whichever form the result's own category
# picks out.
2 gb w megabajtach	datasize	2000000000	2 000 megabajtów
# The word operators: "razy" stands alone, "podzielić przez" is two tokens
# with the second hanging off `keywords.by`.
3 kg razy 4	mass	12000	12 kilogramów
2 km podzielić przez 4	length	500	0,5 kilometra
# A spelled cardinal.
tysiąc trzydzieści dwa	number	1032	1 032
