# input	kind	canonical	formatted
1 kg + 500 g	mass	1500	1,5 kilogram
3 pon	mass	1360.77711	3 pon
1 t ke kilogram	mass	1000000	1.000 kilogram
16 oz ke pon	mass	453.59237	1 pon
1 kg ke gram	mass	1000	1.000 gram
2 kg - 500 g	mass	1500	1,5 kilogram
3 kg * 4	mass	12000	12 kilogram
1 t / 8	mass	125000	0,125 ton
-2 kg	mass	-2000	-2 kilogram
500 mg ke gram	mass	0.5	0,5 gram
2,5 ton ke kilogram	mass	2500000	2.500 kilogram
# "." groups and "," is the decimal point — the Dutch pair, which is where
# Indonesian orthography got it.
1.500 g ke kilogram	mass	1500	1,5 kilogram
1,5 kg	mass	1500	1,5 kilogram
1.234.567 mg	mass	1234.567	1.234.567 miligram
# Indonesian marks no plural at all, so every unit has one printed form and 1
# and 5 take the same word. Reduplication is the language's plural and a
# numeral is exactly what blocks it: "5 kilogram", never "5 kilogram-kilogram".
2 kilogram	mass	2000	2 kilogram
5 kilogram	mass	5000	5 kilogram
1 ton	mass	1000000	1 ton
5 ton	mass	5000000	5 ton
# The ounce is the one unit with no `forms` at all, so it prints its symbol and
# the number closes up against it. `ons` is 100 g in Indonesian — a wet-market
# unit inherited from Dutch — so the vocabulary refuses the word rather than
# answer 3.5× wrong, and leaves the English spellings to read.
2 oz	mass	56.69904625	2 oz
16 ounces	mass	453.59237	16 oz
# No spelled cardinals. `@smartput/core` ships a `<lang>-cardinals` file for
# fourteen of the fifteen non-English languages here and none for `id`, so
# "satu kilogram" does not parse and this corpus records digits only.
# The row that would prove it is the one that cannot be written.
1000 gram	mass	1000	1.000 gram
# "kali" is `times` and also "occasion"; "bagi" is a bare `over` needing no
# particle after it. "kurang" is `minus` and is the same word as "less".
2 kg kali 3	mass	6000	6 kilogram
10 kg bagi 4	mass	2500	2,5 kilogram
10 g tambah 5 kg	mass	5010	5.010 gram
1 kg kurang 250 g	mass	750	0,75 kilogram
# "dalam" is the second conversion preposition, beside "ke".
2 kg dalam gram	mass	2000	2.000 gram
