# input	kind	canonical	formatted
10 km	length	10000	10 kilometer
12 inch	length	0.3048	12 inch
2 km in meter	length	2000	2.000 meter
1 mijl in kilometer	length	1609.344	1,609344 kilometer
10 m + 5 km	length	5010	5.010 meter
1 km - 250 m	length	750	0,75 kilometer
10 km * 3	length	30000	30 kilometer
1 km / 4	length	250	0,25 kilometer
-5 km	length	-5000	-5 kilometer
3 voet in centimeter	length	0.9144	91,44 centimeter
een kilometer	length	1000	1 kilometer
tweehonderdvijf kilometer	length	205000	205 kilometer
1 yard in centimeter	length	0.9144	91,44 centimeter
5280 voet in mijl	length	1609.344	1 mijl
# "." groups and "," is the decimal point — German's pair, the exact inverse
# of English's.
1.500 mm in meter	length	1.5	1,5 meter
1,5 km	length	1500	1,5 kilometer
1.234.567 mm	length	1234.567	1.234.567 millimeter
# Not one of the eight units moves on the number axis: a Dutch measure noun
# stays singular after a numeral. "5 mijl", not "5 mijlen" — and German, whose
# `Meile` is also feminine, prints the plural for the very same unit.
2 meter	length	2	2 meter
5 mijl	length	8046.72	5 mijl
2 mijlen	length	3218.688	2 mijl
3 voet	length	0.9144	3 voet
# Modern Dutch lost case on common nouns, so a conversion target is spelled
# exactly like a bare quantity: "in meter", never a dative "in meteren".
2 km naar meter	length	2000	2.000 meter
# `duim` is read and `inch` is printed, because `inch` is the word a Dutch
# reader actually writes for the unit.
12 duim	length	0.3048	12 inch
# Two bare multipliers, both ordinary Dutch; "gedeeld door" is the two-token
# operator, folded the way English folds "divided by".
2 km maal 3	length	6000	6 kilometer
2 km keer 3	length	6000	6 kilometer
10 km gedeeld door 4	length	2500	2,5 kilometer
