# input	kind	canonical	formatted
1 kwh çevir jul	energy	3600000	3.600.000 jul
2 kW * 3 saat	energy	21600000	21.600.000 jul
500 J + 500 J	energy	1000	1.000 jul
1 kJ - 250 J	energy	750	0,75 kilojul
1 kJ / 4	energy	250	0,25 kilojul
-1 kwh	energy	-3600000	-1 kilovatsaat
bir kilojul	energy	1000	1 kilojul
iki yüz jul	energy	200	200 jul
# "." groups and "," is the decimal point, German's pair.
1.234.567 J	energy	1234567	1.234.567 jul
2,5 kwh	energy	9000000	2,5 kilovatsaat
# Turkish does not pluralise after a numeral, so every unit here has exactly
# one printed form and no number axis at all — the smallest `forms` table of
# the seventeen, one key wide.
1 jul	energy	1	1 jul
5 jul	energy	5	5 jul
1,5 jul	energy	1.5	1,5 jul
5 kalori	energy	20.92	5 kalori
# "vatsaat" is one fused word, so the watt-hour family has a form to print
# where English, Russian and Arabic all fall back to a symbol.
1 kilovatsaat	energy	3600000	1 kilovatsaat
5 kilovatsaat	energy	18000000	5 kilovatsaat
# BTU is the one unit here with no Turkish word and therefore no `forms`, so
# it prints on the symbol branch.
5 BTU	energy	5275.2792631	5 BTU
# A conversion is not a preposition here: the sentence hangs off the verb
# "çevir", and "to" is claimed beside it because Turkish writing borrows it.
2 kWh to jul	energy	7200000	7.200.000 jul
# The suffix stripper. Turkish agglutinates case and plural onto the unit
# word, and none of these endings is listed as an alias — the stripper takes
# them off and the bare stem is what matches.
10 jule	energy	10	10 jul
10 kilojulden	energy	10000	10 kilojul
10 juller	energy	10	10 jul
# The dotless i. `toLocaleLowerCase("tr")` sends "I" to "ı" and "İ" to "i", so
# a Turkish engine has to fold both spellings of a capitalised unit onto the
# one alias.
10 KILOJUL	energy	10000	10 kilojul
10 KİLOJUL	energy	10000	10 kilojul
# The operators are all bare words, none of them two-token.
2 kJ çarpı 3	energy	6000	6 kilojul
10 kJ bölü 4	energy	2500	2,5 kilojul
