# input	kind	canonical	formatted
12 بوصة	length	0.3048	12 بوصة
2 كيلومتر إلى متر	length	2000	2,000 متر
1 ميل إلى كيلومتر	length	1609.344	1.6093 كيلومتر
1 كيلومتر - 250 متر	length	750	0.75 كيلومتر
1 كيلومتر / 4	length	250	0.25 كيلومتر
-5 كيلومتر	length	-5000	-5 كيلومترات
3 قدم إلى سنتيمتر	length	0.9144	91.44 سنتيمتر
مئتان وخمسة كيلومتر	length	205000	205 كيلومترات
1 يارد إلى سنتيمتر	length	0.9144	91.44 سنتيمتر
5280 قدم إلى ميل	length	1609.344	1 ميل
# Six plural categories, the most any language in this set has, and each of
# them a different word. CLDR's Arabic rule: 0 zero, 1 one, 2 two, 3-10 few,
# 11-99 many, and everything else — 100, and every fraction — other.
0 متر	length	0	0 متر
1 متر	length	1	1 متر
2 متر	length	2	2 متران
3 متر	length	3	3 أمتار
11 متر	length	11	11 مترًا
100 متر	length	100	100 متر
1.5 متر	length	1.5	1.5 متر
# The plural of متر is a broken plural — أمتار, an internal reshaping of the
# stem rather than a suffix. No stripper could derive it, which is why every
# category is written out rather than left to a rule.
10 متر + 5 كيلومتر	length	5010	5,010 أمتار
# The category is read off the *result*, not off anything typed: 10 lands in
# few, 30 in many, and the operand that produced it never had either.
10 كيلومتر	length	10000	10 كيلومترات
10 كيلومتر * 3	length	30000	30 كيلومترًا
# The digits and separators are Latin. `ar` resolves to a `latn` numbering
# system with "," for groups and "." for the decimal, so an Arabic sentence
# reads and prints its numbers left to right inside right-to-left text.
1,500 مليمتر إلى متر	length	1.5	1.5 متر
# في is both "in" and "times" in Arabic, and it is claimed as the conversion
# preposition; ضرب is what is left to say "multiplied". قسمة على is the
# two-token division, hanging off على as `keywords.by`.
2 كيلومتر في متر	length	2000	2,000 متر
2 كيلومتر ضرب 3	length	6000	6 كيلومترات
10 كيلومتر قسمة على 4	length	2500	2.5 كيلومتر
# The `+` nobody typed: two adjacent lengths in strictly descending units are a
# sum, which is how a tape measure gets read out loud.
1 متر 50 سنتيمتر	length	1.5	1.5 متر
