# input	kind	canonical	formatted
20 C	temperature	20	20 °C
0 C in F	temperature	0	32 °F
212 F in C	temperature	100	100 °C
100 C nach K	temperature	100	373,15 K
0 K zu C	temperature	-273.15	-273,15 °C
10 C + 5 C	temperature	15	15 °C
30 C - 20 C	tempdelta	10	10 °C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2 °F
(30 C - 20 C) mal 2	tempdelta	20	20 °C
(30 C - 20 C) geteilt durch 4	tempdelta	2.5	2,5 °C
-5 C	temperature	-5	-5 °C
zwanzig C	temperature	20	20 °C
minus 40 C in F	temperature	-40	-40 °F
# A space between the number and the degree sign, where English closes it up.
# The symbol itself is not translated — °C is °C in all seventeen — so the gap
# is the only thing this language changes about a printed reading.
20 celsius	temperature	20	20 °C
300 kelvin	temperature	26.85	300 K
# "." groups and "," is the decimal point — each is the other's character in
# English, and a misread "12.345" is off by a factor of a thousand.
36,6 C	temperature	36.6	36,6 °C
1234,5 K	temperature	961.35	1.234,5 K
12345 C	temperature	12345	12.345 °C
# The scale as a compound noun. "Celsiusgrad" is what a German writes out in
# full — degree and scale in one word, where Arabic needs two tokens — and the
# printed answer is the symbol either way.
20 celsiusgrad	temperature	20	20 °C
98,6 fahrenheitgrad in C	temperature	37	37 °C
# Three prepositions for one conversion: "in", "nach" and "zu" each introduce a
# target, and the spine above spends a row on each.
zwanzig celsius nach fahrenheit	temperature	20	68 °F
0 celsiusgrad zu fahrenheit	temperature	0	32 °F
