# input	kind	canonical	formatted
1 kwh в джоули	energy	3600000	3 600 000 джоулей
2 кВт * 3 часа	energy	21600000	6 кВт·ч
1 kwh / 1 час	power	1000	1 киловатт
500 Дж + 500 Дж	energy	1000	1 000 джоулей
1 кДж - 250 Дж	energy	750	0,75 килоджоуля
1 кДж / 4	energy	250	0,25 килоджоуля
-1 kwh	energy	-3600000	-1 кВт·ч
один килоджоуль	energy	1000	1 килоджоуль
# A decimal comma and a U+00A0 group separator.
1 234 567 Дж	energy	1234567	1 234 567 джоулей
2,5 kwh	energy	9000000	2,5 кВт·ч
# The four plural categories. `few` here is a genitive **singular** —
# "2 джоуля" — where Polish puts a nominative plural in the same cell, and it
# is therefore the same word the fractional row takes.
1 джоуль	energy	1	1 джоуль
2 джоуля	energy	2	2 джоуля
5 джоулей	energy	5	5 джоулей
11 джоулей	energy	11	11 джоулей
1,5 джоуля	energy	1.5	1,5 джоуля
# 21 and 101 agree with the singular and 11 does not, which is where Russian
# and Polish part company: Polish counts every -1 above twenty by the genitive
# plural.
21 джоуль	energy	21	21 джоуль
101 джоуль	energy	101	101 джоуль
# "калория" is feminine, and its genitive plural is a bare stem where the
# masculine "джоуль" takes -ей.
1 калория	energy	4.184	1 калория
2 калории	energy	8.368	2 калории
5 калорий	energy	20.92	5 калорий
# БТЕ is the one settled Russian spelling of the initialism, and it declares
# all eight `forms` rows with the same string — invariant, but declared, which
# is what puts a space between the number and the label.
5 БТЕ	energy	5275.2792631	5 БТЕ
# The word operators, both of them two tokens hanging off "на", which is
# `keywords.by` rather than a preposition of its own.
2 кДж умножить на 3	energy	6000	6 килоджоулей
10 кДж разделить на 4	energy	2500	2,5 килоджоуля
# The watt-hour family has no Russian word — "киловатт-час" is hyphenated and
# the symbol кВт·ч carries an interpunct the lexer reads as multiplication —
# so it ships as a symbol and re-reads as arithmetic. "1 кВт·ч" reaches the
# resolver as кВт, `*`, ч and comes back through the power x duration
# signature, landing on joules rather than on the unit it was printed from.
1 кВт·ч	energy	3600000	1 кВт·ч
2 кВт·ч в джоули	energy	7200000	7 200 000 джоулей
