# input	kind	canonical	formatted
10 km	length	10000	10 kilometre
1 kg + 500 g	mass	1500	1,5 kilogram
30 sa - 30 dk	duration	106200	29,5 saat
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilometre
30 C - 20 C	tempdelta	10	10 °C
50 + 20%	number	60	60
3 m * 4 m	area	12	12 metrekare
100 km / 2 sa	speed	13.88888888888888888888888889	50 km/sa
bir kilometre	length	1000	1 kilometre
iki yüz beş gram	mass	205	205 gram
# "." groups and "," is the decimal point, German's pair.
1.500 g	mass	1500	1.500 gram
# Turkish does not pluralise after a numeral, so a unit here has one printed
# form or none at all and there is no number axis to select on: "1 metre",
# "5 metre", the same word.
1 metre	length	1	1 metre
5 metre	length	5	5 metre
# A conversion is not a preposition here: the sentence hangs off the verb
# "çevir" and the target follows it. "to" is claimed beside it because Turkish
# technical writing borrows it.
2 km çevir metre	length	2000	2.000 metre
212 F çevir C	temperature	100	100 °C
90 derece çevir radyan	angle	1.570796326794896619231321692	1,5708 radyan
1 kib çevir bayt	datasize	1024	1.024 bayt
2 km to metre	length	2000	2.000 metre
# The suffix stripper. Turkish agglutinates case and plural onto the unit word
# and none of these endings is an alias; the stripper takes them off and the
# bare stem matches.
10 metreye	length	10	10 metre
10 kilometreden	length	10000	10 kilometre
# The dotless i. `toLocaleLowerCase("tr")` sends "I" to "ı" and "İ" to "i", so
# both spellings of a capitalised unit have to fold onto the one alias. No
# other language here has a case fold that moves a letter's identity.
10 KİLOMETRE	length	10000	10 kilometre
10 KILOMETRE	length	10000	10 kilometre
# The operators are all bare words, none of them two-token.
2 km çarpı 3	length	6000	6 kilometre
10 km bölü 4	length	2500	2,5 kilometre
