# input	kind	canonical	formatted
10 km	length	10000	10 kilometer
1 kg + 500 g	mass	1500	1,5 kilogram
30 jam - 30 menit	duration	106200	29,5 jam
2 km ke meter	length	2000	2.000 meter
1 km / 4	length	250	0,25 kilometer
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilometer
12 inci	length	0.3048	12 inci
212 F ke C	temperature	100	100°C
30 C - 20 C	tempdelta	10	10°C
20% dari 50	number	10	10
90 derajat ke radian	angle	1.570796326794896619231321692	1,5707963267948966192313217 radian
1 kib ke byte	datasize	1024	1.024 byte
3 m * 4 m	area	12	12 m²
100 km / 2 jam	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
# "." groups and "," is the decimal point — the Dutch pair, which is where
# Indonesian orthography got it.
1.500 g	mass	1500	1.500 gram
1,5 kg	mass	1500	1,5 kilogram
# Indonesian marks no plural at all, so a unit here has one printed form or
# none, and 1 and 5 take the same word. Reduplication is the language's plural
# and a numeral does not trigger it: "5 meter", never "5 meter-meter".
1 meter	length	1	1 meter
5 meter	length	5	5 meter
# `kaki` is "foot" the body part reused as the unit, and `inci` and `mil` are
# loans; none of the eight lengths has a second form to select.
5 kaki	length	1.524	5 kaki
2 mil	length	3218.688	2 mil
# No spelled cardinals. `id` is the one language of the seventeen whose
# `Language` claims neither `numerals` nor `spell` — Indonesian numerals are
# spaced and only look like the run-of-words shape `cardinalNumerals` models —
# so "satu kilometer" does not parse and this corpus records digits only. The
# row that would prove it is the one that cannot be written.
1000 meter	length	1000	1.000 meter
# "kali" is `times` and also "occasion"; "bagi" is a bare `over` needing no
# particle after it. "dalam" is the second conversion preposition, beside
# "ke".
2 km kali 3	length	6000	6 kilometer
10 km bagi 4	length	2500	2,5 kilometer
2 km dalam meter	length	2000	2.000 meter
