# input	kind	canonical	formatted
1 kib in b	datasize	1024	1.024 byte
1 gb in mb	datasize	1000000000	1.000 megabyte
1 gib in mib	datasize	1073741824	1.024 mebibyte
1 mib in kb	datasize	1048576	1.048,576 kilobyte
1024 b in kib	datasize	1024	1 kibibyte
500 mb + 500 mb	datasize	1000000000	1.000 megabyte
1 gb - 200 mb	datasize	800000000	0,8 gigabyte
2 gb * 3	datasize	6000000000	6 gigabyte
1 tb / 4	datasize	250000000000	0,25 terabyte
-1 gb	datasize	-1000000000	-1 gigabyte
een gigabyte	datasize	1000000000	1 gigabyte
tweehonderdvijf megabyte	datasize	205000000	205 megabyte
# Dutch groups with "." and takes "," for the decimal, the German pair.
1.500 byte	datasize	1500	1.500 byte
1234567 byte	datasize	1234567	1.234.567 byte
1,5 GB	datasize	1500000000	1,5 gigabyte
# Nothing moves on the number axis. Dutch does pluralise its own nouns, but
# these are unadapted English loans in a technical register and stay as they
# came, so 1, 2 and 5 print the same word and both `forms` keys hold it.
1 byte	datasize	1	1 byte
2 byte	datasize	2	2 byte
5 byte	datasize	5	5 byte
# German next door declines the same loan for case and prints "Bytes" in the
# dative; Dutch has no case at all, so the conversion target below is spelled
# exactly like a bare quantity.
2 GB naar MB	datasize	2000000000	2.000 megabyte
2 GB in MB	datasize	2000000000	2.000 megabyte
# The word operators. "maal" and "keer" both stand alone; "gedeeld door" is
# two tokens, the second hanging off `keywords.by`.
2 GB maal 3	datasize	6000000000	6 gigabyte
2 GB keer 3	datasize	6000000000	6 gigabyte
10 GB gedeeld door 4	datasize	2500000000	2,5 gigabyte
100 MB plus 100 MB	datasize	200000000	200 megabyte
1 GB minus 200 MB	datasize	800000000	0,8 gigabyte
