# input	kind	canonical	formatted
10 km	length	10000	10 kilomètres
12 pouces	length	0.3048	12 pouces
2 km en mètres	length	2000	2 000 mètres
1 mile en kilomètres	length	1609.344	1,609344 kilomètre
10 m + 5 km	length	5010	5 010 mètres
1 km - 250 m	length	750	0,75 kilomètre
10 km * 3	length	30000	30 kilomètres
1 km / 4	length	250	0,25 kilomètre
-5 km	length	-5000	-5 kilomètres
3 pieds en centimètres	length	0.9144	91,44 centimètres
un kilomètre	length	1000	1 kilomètre
1 yard en centimètres	length	0.9144	91,44 centimètres
5280 pieds en miles	length	1609.344	1 mile
# The decimal comma, and a group separator that is both invisible and narrow:
# this runtime groups French with U+202F. The reader takes any of the three
# spaces — ASCII, U+00A0, U+202F — because `normalize()` folds them; the writer
# emits U+202F and only U+202F, so the row below is not the row above.
5 km en mètres	length	5000	5 000 mètres
1234567 mm	length	1234.567	1 234 567 millimètres
1 500 mm en mètres	length	1.5	1,5 mètre
# French agrees `one` with everything below two, so a fraction takes the
# *singular*: "1,5 kilomètre", "0,5 kilomètre". Spanish pluralises the same
# numbers, and English has no way to state the question.
1,5 km	length	1500	1,5 kilomètre
0,5 km	length	500	0,5 kilomètre
1,5 mètre	length	1.5	1,5 mètre
2 mètres	length	2	2 mètres
-5 mètres	length	-5	-5 mètres
# Vigesimal counting: ninety is said as four-twenties-ten, and the cardinal
# reader has to add across the hyphens rather than read a single word.
quatre-vingt-dix km	length	90000	90 kilomètres
soixante-dix mètres	length	70	70 mètres
deux cent cinq kilomètres	length	205000	205 kilomètres
# The word operators. "fois" stands alone; "divisé par" is two tokens folded
# into one, the way English folds "divided by".
2 km fois 3	length	6000	6 kilomètres
10 km divisé par 4	length	2500	2,5 kilomètres
