# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120 km/h
100 kph in mph	speed	27.77777777777777777777777778	62,1371 mph
60 mph in kph	speed	26.8224	96,5606 km/h
1 knot in kph	speed	0.5144444444444444444444444444	1,852 km/h
10 mps in kph	speed	10	36 km/h
50 kph + 50 kph	speed	27.77777777777777777777777778	100 km/h
100 kph - 20 kph	speed	22.22222222222222222222222222	80 km/h
30 kph * 2	speed	16.66666666666666666666666667	60 km/h
100 kph / 4	speed	6.944444444444444444444444445	25 km/h
-10 kph	speed	-2.777777777777777777777777778	-10 km/h
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
ein kph	speed	0.2777777777777777777777777778	1 km/h
3,6 kph in mps	speed	1	1 m/s
# "." groups and "," is the decimal point, so this row is a thousand two
# hundred and thirty-four kilometres per hour and not one and a bit.
1.234 kph	speed	342.7777777777777777777777778	1.234 km/h
# The operators are words, and the two-token ones hang off "durch". "mal" is
# the whole of `times`; `over` is "geteilt" or "dividiert" and neither can
# stand without its particle.
30 kph mal 2	speed	16.66666666666666666666666667	60 km/h
100 kph geteilt durch 4	speed	6.944444444444444444444444445	25 km/h
# Three prepositions mark a conversion — "in", "nach", "zu" — where most
# languages here manage with two.
100 kph zu mph	speed	27.77777777777777777777777778	62,1371 mph
# "kmh" is the slash-free alias; the printed symbol puts the slash back.
120 kmh	speed	33.33333333333333333333333334	120 km/h
# Knoten fills all four cells of the German table with one word: nominative
# and dative, singular and plural, are the same string. Compare `die Meile`
# in `@smartput/length`, the one unit in that vocabulary that moves.
1 Knoten	speed	0.5144444444444444444444444444	1 Knoten
2 Knoten	speed	1.028888888888888888888888889	2 Knoten
1,5 Knoten	speed	0.7716666666666666666666666666	1,5 Knoten
zwanzig Knoten	speed	10.28888888888888888888888889	20 Knoten
5 kn	speed	2.572222222222222222222222222	5 Knoten
# The bridge. A dative length is read and never printed: "Kilometern" goes in,
# metres per second comes out, and the case the preposition would have
# governed dies at the parser.
100 Kilometern / 2 Stunden	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
# The compound symbol read back as arithmetic. It is a different path to the
# same speed as "120 kph" above and a different last digit: the ratio table
# multiplies where the bridge divides, and 28 significant digits round the
# two ways.
120 km/h	speed	33.33333333333333333333333333	33,333333333333333333333333 m/s
