# input	kind	canonical	formatted
1 kwh в Дж	energy	3600000	3 600 000 джоулів
2 кВт * 3 год	energy	21600000	21 600 000 джоулів
3 год * 2 кВт	energy	21600000	21 600 000 джоулів
1 kwh / 1 год	power	1000	1 000 ватів
1 kwh / 1 кВт	duration	3600	3 600 секунд
1 ккал в Дж	energy	4184	4 184 джоулі
1 btu в Дж	energy	1055.05585262	1 055,0559 джоуля
1 МДж в кДж	energy	1000000	1 000 кілоджоулів
500 Дж + 500 Дж	energy	1000	1 000 джоулів
2 кДж * 3	energy	6000	6 кілоджоулів
1 mwh в kwh	energy	3600000000	1 000 кВт·год
-1 kwh	energy	-3600000	-1 кВт·год
один кілоджоуль	energy	1000	1 кілоджоуль
1000 кал в ккал	energy	4184	1 кілокалорія
2,5 kwh	energy	9000000	2,5 кВт·год
# The watt-hour's Ukrainian symbol is `кВт·год`, a middle dot rather than
# an operator, so it is one word token and reads as a unit — which is what
# this row is here to hold. `kwh` above is the Latin alias for the same
# unit, and the two must land on the same quantity.
1 кВт·год в Дж	energy	3600000	3 600 000 джоулів
# The declined joule, all four categories.
21 джоуль	energy	21	21 джоуль
11 джоулів	energy	11	11 джоулів
2 джоулі	energy	2	2 джоулі
500 Дж + 250 Дж	energy	750	750 джоулів
