# input	kind	canonical	formatted
#
# The clock is 2026-01-15T12:00:00Z — a Thursday — and the engine zone is UTC,
# neither of which shows up in a single row: a clock span is not anchored to a
# day or to a zone, which is the whole reason `time-range` exists beside
# `datetime-range`. `canonical` is the *start* in nanoseconds since local
# midnight, so every row is a number in [0, 86400e9).
#
# Unlike `@smartput/time`'s corpus these rows need no `kinds` filter. The range
# reading wins outright: the two-endpoint forms collect the +20 their signature
# carries (design §4.1) and the window words collect the +10 their claim does.

# The named windows, straight off `range-core`'s table.
morning	time-range	21600000000000	06:00 → 12:00
afternoon	time-range	43200000000000	12:00 → 18:00
evening	time-range	64800000000000	18:00 → 22:00
night	time-range	79200000000000	22:00 → 06:00
day	time-range	21600000000000	06:00 → 22:00

# The dash. This is the row the milestone turns on: `- | datetime | datetime`
# claims the same input and would answer "10 hours".
10:00 - 20:00	time-range	36000000000000	10:00 → 20:00
09:00 - 17:00	time-range	32400000000000	09:00 → 17:00
23:00 - 07:00	time-range	82800000000000	23:00 → 07:00

# `to` and `as`, which core's `keywordFor` folds onto the `in` keyword, so all
# three reach the same `in | time | time` signature.
10:00 to 20:00	time-range	36000000000000	10:00 → 20:00
07:45 to 16:15	time-range	27900000000000	07:45 → 16:15
9:30 to 17:45	time-range	34200000000000	09:30 → 17:45
10:00 as 20:00	time-range	36000000000000	10:00 → 20:00

# Endpoints written the way people write them rather than the way ISO does.
# chrono reads them; this package never sees the difference.
3pm to 6pm	time-range	54000000000000	15:00 → 18:00
midnight to noon	time-range	0	00:00 → 12:00

# Backwards is a night shift, not an error. `time-range` is the one range kind
# that never calls `assertOrdered`.
20:00 - 06:00	time-range	72000000000000	20:00 → 06:00
22:30 to 06:30	time-range	81000000000000	22:30 → 06:30
