# input	kind	canonical	formatted
10 किलोमीटर	length	10000	10 किलोमीटर
1 किलोग्राम + 500 ग्राम	mass	1500	1.5 किलोग्राम
30 घंटे - 30 मिनट	duration	106200	29.5 घंटे
2 किलोमीटर में मीटर	length	2000	2,000 मीटर
1 किलोमीटर / 4	length	250	0.25 किलोमीटर
(1 + 2) * 3	number	9	9
-5 किलोमीटर	length	-5000	-5 किलोमीटर
212 फारेनहाइट में सेल्सियस	temperature	100	100°C
30 सेल्सियस - 20 सेल्सियस	tempdelta	10	10°C
50 + 20%	number	60	60
90 डिग्री में रेडियन	angle	1.570796326794896619231321692	1.5708 रेडियन
1 किबिबाइट में बाइट	datasize	1024	1,024 बाइट
3 मीटर * 4 मीटर	area	12	12 मी²
100 किलोमीटर / 2 घंटे	speed	13.88888888888888888888888889	13.888888888888888888888889 मी/सेकंड
एक किलोमीटर	length	1000	1 किलोमीटर
दो सौ पाँच ग्राम	mass	205	205 ग्राम
# Hindi's separators are English's — comma for groups, point for the decimal —
# so only the grouping *rule* separates the two, and only on the way out.
# Reading is grouping-agnostic: `parseNumber` strips the separator wherever it
# falls, so the Indian form and the international one reach `Decimal` as the
# same digits.
12,34,567 मिलीमीटर	length	1234.567	1,234,567 मिलीमीटर
1,234,567 मिलीमीटर	length	1234.567	1,234,567 मिलीमीटर
# Writing is not. `formatNumber` groups in fixed periods of three and
# `NumberFormatSpec` carries no grouping rule, so this engine prints "100,000"
# where a Hindi page writes "1,00,000". Recorded rather than worked around —
# the gap `core/src/locale/hi.ts` documents at length, and the row that will
# change the day core learns about grouping periods.
#
# लाख is read as a magnitude word and lands on 100000; only its printed
# grouping is subject to that gap.
एक लाख मीटर	length	100000	100,000 मीटर
# फुट / फीट: Hindi borrowed the English singular and plural as two separate
# words, and घंटा / घंटे is the same alternation in a native noun. Most units
# here are consonant-final loans that do not inflect after a numeral at all.
1 फुट	length	0.3048	1 फुट
3 फीट	length	0.9144	3 फीट
1 घंटा	duration	3600	1 घंटा
# The operators are bare words, and three different postpositions introduce a
# conversion target: में, को and से.
2 किलोमीटर गुणा 3	length	6000	6 किलोमीटर
10 किलोमीटर भाग 4	length	2500	2.5 किलोमीटर
2 किलोमीटर को मीटर	length	2000	2,000 मीटर
