# input	kind	canonical	formatted
1 kg + 500 g	mass	1500	1,5 kilogram
3 pond	mass	1360.77711	3 pond
1 t in kilogram	mass	1000000	1.000 kilogram
16 ounce in pond	mass	453.59237	1 pond
1 kg in gram	mass	1000	1.000 gram
2 kg - 500 g	mass	1500	1,5 kilogram
3 kg * 4	mass	12000	12 kilogram
1 t / 8	mass	125000	0,125 ton
-2 kg	mass	-2000	-2 kilogram
500 mg in gram	mass	0.5	0,5 gram
een kilogram	mass	1000	1 kilogram
tweehonderdvijf kilogram	mass	205000	205 kilogram
2,5 ton in kilogram	mass	2500000	2.500 kilogram
1 pond in ounce	mass	453.59237	16 ounce
# "." groups and "," is the decimal point — German's pair, the exact inverse
# of English's.
1.500 g in kilogram	mass	1500	1,5 kilogram
1,5 kg	mass	1500	1,5 kilogram
1.234.567 mg	mass	1234.567	1.234.567 milligram
# Not one of the six units moves on the number axis: a Dutch measure noun stays
# singular after a numeral. The doubled-consonant plurals are listed and read,
# and the singular is what comes back — German, whose `Tonne` is feminine,
# prints the plural for the very same unit.
2 kilogram	mass	2000	2 kilogram
5 gram	mass	5	5 gram
2 kilogrammen	mass	2000	2 kilogram
5 ponden	mass	2267.96185	5 pond
1 ton	mass	1000000	1 ton
5 ton	mass	5000000	5 ton
# `kilo's` — the apostrophe plural Dutch spelling requires after a bare vowel,
# and the one alias here no suffix rule could reach.
3 kilo's	mass	3000	3 kilogram
# The ounce is the unit with no Dutch word: `een ons` is 100 g in the
# Netherlands, so the vocabulary leaves that noun unclaimed and prints the
# English `ounce` rather than answer 3.5× wrong.
2 ounces	mass	56.69904625	2 ounce
# Modern Dutch lost case on common nouns, so a conversion target is spelled
# exactly like a bare quantity: "naar gram", never a dative "naar grammen".
2 kg naar gram	mass	2000	2.000 gram
# Two bare multipliers, both ordinary Dutch; "gedeeld door" is the two-token
# operator, folded the way English folds "divided by".
2 kg maal 3	mass	6000	6 kilogram
2 kg keer 3	mass	6000	6 kilogram
10 kg gedeeld door 4	mass	2500	2,5 kilogram
# The `+` nobody typed: two adjacent masses in strictly descending units are a
# sum, which is how a recipe and a scale readout get written.
1 kg 200 g	mass	1200	1,2 kilogram
