# input	kind	canonical	formatted
10 km	length	10000	10 kilometer
12 inci	length	0.3048	12 inci
2 km ke meter	length	2000	2.000 meter
1 mil ke kilometer	length	1609.344	1,609344 kilometer
10 m + 5 km	length	5010	5.010 meter
1 km - 250 m	length	750	0,75 kilometer
10 km * 3	length	30000	30 kilometer
1 km / 4	length	250	0,25 kilometer
-5 km	length	-5000	-5 kilometer
3 kaki ke sentimeter	length	0.9144	91,44 sentimeter
1 yard ke sentimeter	length	0.9144	91,44 sentimeter
5280 kaki ke mil	length	1609.344	1 mil
# "." groups and "," is the decimal point — the Dutch pair, which is where
# Indonesian orthography got it.
1.500 mm ke meter	length	1.5	1,5 meter
1,5 km	length	1500	1,5 kilometer
1.234.567 mm	length	1234.567	1.234.567 milimeter
# Indonesian marks no plural at all, so every unit has one printed form and 1
# and 5 take the same word. Reduplication is the language's plural and it is
# not what a numeral triggers: "5 meter", never "5 meter-meter".
2 meter	length	2	2 meter
5 kilometer	length	5000	5 kilometer
# `kaki` is "foot" the body part reused as the unit, and `inci` and `mil` are
# loans; none of the eight has a second form to select.
1 kaki	length	0.3048	1 kaki
5 kaki	length	1.524	5 kaki
# No spelled cardinals. `@smartput/core` ships a `<lang>-cardinals` file for
# fourteen of the fifteen non-English languages here and none for `id`, so
# "satu kilometer" does not parse and this corpus records digits only.
# The row that would prove it is the one that cannot be written.
1000 meter	length	1000	1.000 meter
# "kali" is `times` and also "occasion"; "bagi" is a bare `over` needing no
# particle after it. "kurang" is `minus` and is the same word as "less".
2 km kali 3	length	6000	6 kilometer
10 km bagi 4	length	2500	2,5 kilometer
10 m tambah 5 km	length	5010	5.010 meter
1 km kurang 250 m	length	750	0,75 kilometer
# "dalam" is the second conversion preposition, beside "ke".
2 km dalam meter	length	2000	2.000 meter
