# input	kind	canonical	formatted
#
# Positions are written from 1 and stored from 0, so every numeric row here is
# its written form minus one. `canonical` is the *start* position — negative
# when the selection counts back from the end of the list — and `formatted` is
# the pair in the notation this package documents itself in.
#
# The engine these rows run against registers BUILTIN_KINDS beside `index` and
# `range`, which is the engine a real consumer builds: every dash row has a
# subtraction reading inside it, and dropping `number` would let the range win
# by default rather than on the +20 its signature carries.

# Counting from an end. A bare anchor is a count of one.
first	range	0	[0, 0]
first three	range	0	[0, 2]
first 3	range	0	[0, 2]
first one hundred	range	0	[0, 99]
top 5	range	0	[0, 4]
last	range	-1	[-1, -1]
last three	range	-3	[-3, -1]
last 2	range	-2	[-2, -1]
bottom 4	range	-4	[-4, -1]

# Two written endpoints. `to`, `until`, `till` and `through` are the same
# closer; `from` is optional, and an unclosed `from 6` is not claimed at all.
from 6 to 9	range	5	[5, 8]
6 to 9	range	5	[5, 8]
from 2 until 4	range	1	[1, 3]
from 2 till 4	range	1	[1, 3]
from 2 through 4	range	1	[1, 3]
from -3 to -1	range	-3	[-3, -1]

# The dash, and the row this package turns on. `- | number | number` already
# claims it and answers -1; `- | index | index` reaches 10 — two -20 readings,
# the +30 core withholds from `number`, and a +20 refund — and wins by 11 on a
# margin `range.test.ts` asserts. The spaced form is here because it wins too — core's token
# stream carries no adjacency, so nothing can prefer one spelling over the
# other, and `createRange({ dashWeight: 0 })` gives both back to subtraction.
4-5	range	3	[3, 4]
4 - 5	range	3	[3, 4]

# Interval notation. Either separator, either bracket at either end. `(1;5]`
# and `[2,5]` are the same four items, because an open end moves inwards by one
# written position before the origin is applied.
[1,5]	range	0	[0, 4]
(1,5]	range	1	[1, 4]
(1;5]	range	1	[1, 4]
[1,5)	range	0	[0, 3]
(1;5)	range	1	[1, 3]
[2,5]	range	1	[1, 4]
[1,-1]	range	0	[0, -1]
