# input	kind	canonical	formatted
1 किलोग्राम + 500 ग्राम	mass	1500	1.5 किलोग्राम
3 पाउंड	mass	1360.77711	3 पाउंड
1 टन में किलोग्राम	mass	1000000	1,000 किलोग्राम
16 औंस में पाउंड	mass	453.59237	1 पाउंड
1 किलोग्राम में ग्राम	mass	1000	1,000 ग्राम
2 किलोग्राम - 500 ग्राम	mass	1500	1.5 किलोग्राम
3 किलोग्राम * 4	mass	12000	12 किलोग्राम
1 टन / 8	mass	125000	0.125 टन
-2 किलोग्राम	mass	-2000	-2 किलोग्राम
500 मिलीग्राम में ग्राम	mass	0.5	0.5 ग्राम
एक किलोग्राम	mass	1000	1 किलोग्राम
दो सौ पाँच किलोग्राम	mass	205000	205 किलोग्राम
1 पाउंड में औंस	mass	453.59237	16 औंस
1.5 किलोग्राम	mass	1500	1.5 किलोग्राम
# Hindi's separators are English's — comma for groups, point for the decimal —
# so only the grouping *rule* separates the two, and only on the way out.
#
# Reading is grouping-agnostic: `parseNumber` strips the separator wherever it
# falls, so the Indian form below and the international one on the next line
# reach `Decimal` as the same digits.
12,34,567 मिलीग्राम	mass	1234.567	1,234,567 मिलीग्राम
1,234,567 मिलीग्राम	mass	1234.567	1,234,567 मिलीग्राम
# Writing is not. `formatNumber` groups in fixed periods of three and
# `NumberFormatSpec` carries no grouping rule, so this engine prints
# "1,234,567" where a Hindi page writes "12,34,567". Recorded rather than
# worked around — the same gap `core/src/locale/hi.ts` documents at length.
#
# लाख is read as a magnitude word and lands on 100000; only its printed
# grouping is subject to the gap above.
एक लाख ग्राम	mass	100000	100,000 ग्राम
# The abbreviations Hindi actually writes — किग्रा, ग्रा, मिग्रा — are read and
# never printed: `symbol` carries them, and the spelled word is what comes back.
10 किग्रा	mass	10000	10 किलोग्राम
500 ग्रा	mass	500	500 ग्राम
# No number axis on any of the six: these are consonant-final masculine loans
# that do not inflect after a numeral, so 1 and 5 take the same word.
1 ग्राम	mass	1	1 ग्राम
5 ग्राम	mass	5	5 ग्राम
1 औंस	mass	28.349523125	1 औंस
2 औंस	mass	56.69904625	2 औंस
# The operators are bare words, and a conversion is a postposition *after* the
# target rather than a preposition before it — में, को and से all mark it.
2 किलोग्राम गुणा 3	mass	6000	6 किलोग्राम
10 किलोग्राम भाग 4	mass	2500	2.5 किलोग्राम
2 किलोग्राम को ग्राम	mass	2000	2,000 ग्राम
2 किलोग्राम से ग्राम	mass	2000	2,000 ग्राम
# The `+` nobody typed: two adjacent masses in strictly descending units are a
# sum, which is how a recipe and a scale readout get written.
1 किलोग्राम 200 ग्राम	mass	1200	1.2 किलोग्राम
