# input	kind	canonical	formatted
1 kwh in Joule	energy	3600000	3.600.000 Joule
2 kW * 3 Stunden	energy	21600000	21.600.000 Joule
1 kwh / 1 Stunde	power	1000	1.000 Watt
1 kwh / 1 kW	duration	3600	3.600 Sekunden
1 kcal in Joule	energy	4184	4.184 Joule
500 J + 500 J	energy	1000	1.000 Joule
2 kJ * 3	energy	6000	6 Kilojoule
1 kJ - 250 J	energy	750	0,75 Kilojoule
-1 kwh	energy	-3600000	-1 Kilowattstunde
ein Kilojoule	energy	1000	1 Kilojoule
zweihundert Joule	energy	200	200 Joule
# "." groups the thousands and "," is the decimal point, the reverse of
# English's pair. "1.500 J" is fifteen hundred joules, not one and a half.
1.234.567 J	energy	1234567	1.234.567 Joule
1.500 J in kJ	energy	1500	1,5 Kilojoule
2,5 kwh	energy	9000000	2,5 Kilowattstunden
# Joule is a neuter measure noun and stands invariant after a numeral: its
# `nom-one` and `nom-other` rows hold the same word, so 1 and 2 print alike.
1 Joule	energy	1	1 Joule
2 Joule	energy	2	2 Joule
# Kilowattstunde is the feminine one and it does pluralise, which is the
# contrast the two rows above exist for. The fraction takes the plural too —
# German's `other` covers every amount but 1, where French's `one` swallows
# every fraction below two.
1 Kilowattstunde	energy	3600000	1 Kilowattstunde
2 Kilowattstunden	energy	7200000	2 Kilowattstunden
1,5 kWh	energy	5400000	1,5 Kilowattstunden
# Kalorie is feminine as well, and it pluralises for the same reason
# Wattstunde does — which is the reason Joule above does not.
1 Kalorie	energy	4.184	1 Kalorie
5 Kalorien	energy	20.92	5 Kalorien
# BTU carries no `forms` at all — a borrowed initialism German leaves
# undeclined — so the printer takes the symbol branch, which still spaces it.
5 BTU	energy	5275.2792631	5 BTU
# The word operators. "mal" stands alone; division is two tokens, and both
# "geteilt" and "dividiert" hang off the same "durch".
2 kJ mal 3	energy	6000	6 Kilojoule
10 kJ geteilt durch 4	energy	2500	2,5 Kilojoule
# "nach" is a second conversion preposition beside the "in" generation emits.
2 kWh nach Joule	energy	7200000	7.200.000 Joule
