# input	kind	canonical	formatted
10 km	length	10000	10 kilometer
1 kg + 500 g	mass	1500	1,5 kilogram
2 km in meter	length	2000	2.000 meter
1 km / 4	length	250	0,25 kilometer
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilometer
212 F in C	temperature	100	100 °C
30 C - 20 C	tempdelta	10	10 °C
20% van 50	number	10	10
90 graden in radialen	angle	1.570796326794896619231321692	1,5708 radialen
1 kib in b	datasize	1024	1.024 byte
3 m * 4 m	area	12	12 m²
100 km / 2 u	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
een kilometer	length	1000	1 kilometer
tweehonderdvijf gram	mass	205	205 gram
# "." groups and "," is the decimal point, the pair Indonesian borrowed.
1.500 g	mass	1500	1.500 gram
1,5 kg	mass	1500	1,5 kilogram
# Nothing moves on the number axis for a length or a mass, so "5 mijl" is
# what German writes as "5 Meilen" — the same feminine word, the opposite
# rule — and "29,5 uur" stays singular where German pluralises "Stunden". The
# angle above does inflect ("radialen"), so this is the shape of the
# vocabulary and not a missing feature.
1 mijl	length	1609.344	1 mijl
5 mijl	length	8046.72	5 mijl
30 h - 30 min	duration	106200	29,5 uur
# `in` is a reserved keyword, so the inch has no `in` alias: `duim` is what a
# Dutch writer types and `inch` is what comes back.
12 duim	length	0.3048	12 inch
# With no case to govern, a conversion target is spelled exactly like a bare
# quantity — "naar meter", and "meter" again on the way out.
2 km naar meter	length	2000	2.000 meter
# Two words for `times`, both bare; "gedeeld door" is one operator in two
# tokens.
2 km maal 3	length	6000	6 kilometer
2 km keer 3	length	6000	6 kilometer
10 km gedeeld door 4	length	2500	2,5 kilometer
