# input	kind	canonical	formatted
#
# The clock is 2026-01-15T12:00:00Z — a Thursday — and the engine zone is UTC,
# the same pinning `corpus/en.tsv` records. `canonical` is epoch nanoseconds for
# a datetime and canonical seconds for a duration. `formatted` follows
# "YYYY-MM-DD HH:MM <zone symbol>", with midnight whenever the input named no
# time of day — and it is never translated, because the kind's format hook
# builds it from Temporal fields rather than from ICU.

# datetime — recognition. An ISO date is the one date syntax every locale
# shares; a bare clock time takes its date from the pinned clock.
2026-03-01	datetime	1772323200000000000	2026-03-01 00:00 UTC
9:30	datetime	1768469400000000000	2026-01-15 09:30 UTC

# The date reader is chrono-node in its English configuration, whichever locale
# formats the answer, so "сегодня", "завтра" and "1 марта 2026" all throw while
# their English spellings read under a Russian engine — the alphabet is not even
# the obstacle. A known gap, recorded here rather than worked around:
# `chrono-bridge.ts` says as much where it spells `to|as|in` in English.
next friday	datetime	1769126400000000000	2026-01-23 00:00 UTC
1 March 2026	datetime	1772323200000000000	2026-03-01 00:00 UTC

# datetime + duration, with the duration spelled in Russian.
2026-03-01 + 3 дня	datetime	1772582400000000000	2026-03-04 00:00 UTC
2026-03-01 - 1 неделя	datetime	1771718400000000000	2026-02-22 00:00 UTC
9:30 + 90 минут	datetime	1768474800000000000	2026-01-15 11:00 UTC
# February is 28 days long in 2026; the addition is calendar arithmetic, not
# 86400 seconds.
2026-02-28 + 1 d	datetime	1772323200000000000	2026-03-01 00:00 UTC
2026-03-01 + три дня	datetime	1772582400000000000	2026-03-04 00:00 UTC

# A date difference is the one place this kind can state a plural category: the
# result is a duration, and the number is whatever the two dates make it. All
# four Russian categories, without a single hand-written quantity.
2026-01-16 - 2026-01-15	duration	86400	1 день
2026-01-17 - 2026-01-15	duration	172800	2 дня
2026-01-20 - 2026-01-15	duration	432000	5 дней
# `durationValue` reports the largest unit it fills, so 45 days is weeks — and
# a fraction is `other`, the genitive singular. Where Russian and Polish part
# company: `few` here is that same genitive singular ("2 дня"), and there it is
# the nominative plural.
2026-03-01 - 2026-01-15	duration	3888000	6,4286 недели
# A decimal comma and a U+00A0 group separator.
1000 дней	duration	86400000	1 000 дней
# Both word operators are two tokens, hanging off "на", which core reads as the
# `by` keyword.
2 недели умножить на 3	duration	3628800	6 недель
6 часов разделить на 2	duration	10800	3 часа
-5 минут	duration	-300	-5 минут

# Zone conversion. "в" keeps the instant and relabels the wall clock, and the
# case it governs is spelled into the alias list: prepositional after "в"
# ("в Москве"), genitive after "до" ("до Киева").
15:00 в москве	datetime	1768489200000000000	2026-01-15 18:00 MSK
15:00 до киева	datetime	1768489200000000000	2026-01-15 17:00 Kyiv
# July, so London is on BST and the same zone that reads +00:00 in January
# reads +01:00 here. Only a date-aware kind can tell the two apart.
2026-07-01 в лондоне	datetime	1782864000000000000	2026-07-01 01:00 London
15:00 в калькутте	datetime	1768489200000000000	2026-01-15 20:30 IST
15:00 в японии	datetime	1768489200000000000	2026-01-16 00:00 JST

# Nothing below is a date. These rows are the accept-gate's regression guard
# (plan ruling R4): if a chrono upgrade starts claiming them, they fail loudly.
10 км + 5 км	length	15000	15 километров
20 C	temperature	20	20°C
5 минут	duration	300	5 минут

