# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3 م * 4 م	area	12	12 م²
100 كم / 2 ساعة	speed	13.88888888888888888888888889	13.888888888888888888888889 م/ث
2 كيلوواط * 3 ساعات	energy	21600000	21,600,000 جول
1 kwh / 1 ساعة	power	1000	1,000 واط
500 ميغابايت / 20 ثانية	datarate	200000000	200 ميغابت
100 mbps * 1 دقيقة	datasize	750000000	750,000,000 بايت
1000 ميغابايت = 1 غيغابايت	boolean	1	true
1 ميل > 1 كم	boolean	1	true
212 F إلى C	temperature	100	100 °C
20% من 50	number	10	10
-5 كم	length	-5000	-5 كيلومترات
# Six plural categories, the most any language in this set has, on a kind that
# is not a length. CLDR's Arabic rule: 0 zero, 1 one, 2 two, 3-10 few, 11-99
# many, and everything else — 100, and every fraction — other.
0 بايت	datasize	0	0 بايت
1 بايت	datasize	1	1 بايت
2 بايت	datasize	2	2 بايتان
3 بايت	datasize	3	3 بايتات
11 بايت	datasize	11	11 بايتًا
100 بايت	datasize	100	100 بايت
1.5 بايت	datasize	1.5	1.5 بايت
# The category is read off the *result*, not off anything typed: 1024 lands in
# many, and the operand that produced it never had it.
1 كيبيبايت إلى بايت	datasize	1024	1,024 بايتًا
# The digits and separators are Latin. `ar` resolves to a `latn` numbering
# system with "," for groups and "." for the decimal, so an Arabic sentence
# reads and prints its numbers left to right inside right-to-left text.
1,500 مليلتر إلى لتر	volume	1.5	1.5 لتر
1 كغ + 500 غ	mass	1500	1.5 كيلوغرام
# في is both "in" and "times" and is claimed as a conversion preposition, so
# ضرب is what is left to say "multiplied". قسمة على is the two-token division,
# hanging off على as `keywords.by`.
2 كم في متر	length	2000	2,000 متر
2 كم ضرب 3	length	6000	6 كيلومترات
10 كم قسمة على 4	length	2500	2.5 كيلومتر
# A spelled cardinal, with the copulative و between the hundreds and the units.
مئتان وخمسة كيلومتر	length	205000	205 كيلومترات
