# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3 m * 4 m	area	12	12 metrekare
100 km / 2 sa	speed	13.88888888888888888888888889	50 km/sa
2 kw * 3 sa	energy	21600000	6 kilovatsaat
1 kwh / 1 sa	power	1000	1 kilovat
500 mb / 20 sn	datarate	200000000	200 Mbit
100 mbit * 1 dk	datasize	750000000	750.000.000 bayt
120 bpm to ms	duration	0.5	500 milisaniye
1000 mb = 1 gb	boolean	1	true
30 sa - 30 dk	duration	106200	29,5 saat
212 F to C	temperature	100	100 °C
50 + 20%	number	60	60
(1 + 2) * 3	number	9	9
1 kib to b	datasize	1024	1.024 bayt
-5 km	length	-5000	-5 kilometre
# "." groups and "," separates the decimal.
1.500 m to km	length	1500	1,5 kilometre
1 kg + 500 g	mass	1500	1,5 kilogram
# One printed form per unit across the whole set — the smallest `forms` table
# any language here has, a single `other` and nothing to select between.
1 metre	length	1	1 metre
5 metre	length	5	5 metre
# Conversion is not a preposition: `çevir` is the verb "convert", and the
# target wears the dative suffix the stripper takes back off.
2 km çevir metreye	length	2000	2.000 metre
# The stripper works on a bare quantity too — `saatten` is the ablative of
# `saat`, and nothing but the suffix separates them.
5 saatten	duration	18000	5 saat
# The dotless i. Turkish lowercases I to ı and İ to i, so the two spellings a
# Turkish keyboard produces for the same word both land on the same unit.
10 KİLOMETRE	length	10000	10 kilometre
10 KILOMETRE	length	10000	10 kilometre
# The word operators, both single tokens.
3 kg çarpı 4	mass	12000	12 kilogram
2 km bölü 4	length	500	0,5 kilometre
# A spelled cardinal — `bir` is dropped before `bin`, so a thousand is just
# "bin".
bin otuz iki	number	1032	1.032
