# input	kind	canonical	formatted
10 किलोमीटर	length	10000	10 किलोमीटर
12 इंच	length	0.3048	12 इंच
2 किलोमीटर में मीटर	length	2000	2,000 मीटर
1 मील में किलोमीटर	length	1609.344	1.609344 किलोमीटर
10 मीटर + 5 किलोमीटर	length	5010	5,010 मीटर
1 किलोमीटर - 250 मीटर	length	750	0.75 किलोमीटर
10 किलोमीटर * 3	length	30000	30 किलोमीटर
1 किलोमीटर / 4	length	250	0.25 किलोमीटर
-5 किलोमीटर	length	-5000	-5 किलोमीटर
3 फीट में सेंटीमीटर	length	0.9144	91.44 सेंटीमीटर
एक किलोमीटर	length	1000	1 किलोमीटर
दो सौ पाँच किलोमीटर	length	205000	205 किलोमीटर
1 गज़ में सेंटीमीटर	length	0.9144	91.44 सेंटीमीटर
5280 फीट में मील	length	1609.344	1 मील
1500 मिलीमीटर में मीटर	length	1.5	1.5 मीटर
1.5 किलोमीटर	length	1500	1.5 किलोमीटर
# Hindi's separators are English's — comma for groups, point for the decimal —
# so only the grouping *rule* separates the two, and only on the way out.
#
# Reading is grouping-agnostic: `parseNumber` strips the separator wherever it
# falls, so the Indian form below and the international one on the next line
# reach `Decimal` as the same digits.
12,34,567 मिलीमीटर	length	1234.567	1,234,567 मिलीमीटर
1,234,567 मिलीमीटर	length	1234.567	1,234,567 मिलीमीटर
# Writing is not. `formatNumber` groups in fixed periods of three and
# `NumberFormatSpec` carries no grouping rule, so this engine prints
# "1,234,567" where a Hindi page writes "12,34,567". Recorded rather than
# worked around — the same gap `core/src/locale/hi.ts` documents at length,
# and the row that will change the day core learns about grouping periods.
#
# लाख is read as a magnitude word and lands on 100000; only its printed
# grouping is subject to the gap above.
एक लाख मीटर	length	100000	100,000 मीटर
# फुट / फीट, the only unit here whose number axis moves: Hindi borrowed the
# English singular and plural as two separate words. The other seven are
# consonant-final masculine loans that do not inflect after a numeral.
1 फुट	length	0.3048	1 फुट
3 फीट	length	0.9144	3 फीट
# The operators are bare words, and a conversion is a postposition *after* the
# target rather than a preposition before it — में, को and से all mark it.
2 किलोमीटर गुणा 3	length	6000	6 किलोमीटर
10 किलोमीटर भाग 4	length	2500	2.5 किलोमीटर
2 किलोमीटर को मीटर	length	2000	2,000 मीटर
